 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x04000d  EDAT :0x0000000d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04000e  EDAT :0x0000000e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04000f  EDAT :0x0000000f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040010  EDAT :0x00000010  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040011  EDAT :0x00000011  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040012  EDAT :0x00000012  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040013  EDAT :0x00000013  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040014  EDAT :0x00000014  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040015  EDAT :0x00000015  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040016  EDAT :0x00000016  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040017  EDAT :0x00000017  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040018  EDAT :0x00000018  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040019  EDAT :0x00000019  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001a  EDAT :0x0000001a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001b  EDAT :0x0000001b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001c  EDAT :0x0000001c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001d  EDAT :0x0000001d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001e  EDAT :0x0000001e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04001f  EDAT :0x0000001f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040020  EDAT :0x00000020  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040021  EDAT :0x00000021  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040022  EDAT :0x00000022  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040023  EDAT :0x00000023  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040024  EDAT :0x00000024  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040025  EDAT :0x00000025  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040026  EDAT :0x00000026  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040027  EDAT :0x00000027  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040028  EDAT :0x00000028  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040029  EDAT :0x00000029  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002a  EDAT :0x0000002a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002b  EDAT :0x0000002b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002c  EDAT :0x0000002c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002d  EDAT :0x0000002d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002e  EDAT :0x0000002e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04002f  EDAT :0x0000002f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040030  EDAT :0x00000030  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040031  EDAT :0x00000031  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040032  EDAT :0x00000032  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040033  EDAT :0x00000033  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040034  EDAT :0x00000034  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040035  EDAT :0x00000035  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040036  EDAT :0x00000036  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040037  EDAT :0x00000037  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040038  EDAT :0x00000038  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x040039  EDAT :0x00000039  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04003a  EDAT :0x0000003a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04003b  EDAT :0x0000003b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04003c  EDAT :0x0000003c  RDAT :0xffffffff
